mineral_name,strunz_number
Berzelianite,02.BA.15a
Digenite,02.BA.05e
Digenite,02.BA.05e
Bornite,02.BA.10
Bornite,02.BA.10
Bornite,02.BA.10
Bornite,02.BA.10
Bornite,02.BA.10
Bornite,02.BA.10
Bornite,02.BA.10
Bornite,02.BA.10
Bornite,02.BA.10
Bornite,02.BA.10
Bornite,02.BA.10
Acanthite,02.BA.30a
Acanthite,02.BA.30a
Argentite,02.BA.30a
Argentite,02.BA.30a
Argentite,02.BA.30a
Argentite,02.BA.30a
Argentite,02.BA.30a
Argentite,02.BA.30a
Argentite,02.BA.30a
Argentite,02.BA.30a
Argentite,02.BA.30a
Argentite,02.BA.30a
Argentite,02.BA.30a
Argentite = Argyrose,
Argentite,02.BA.30a
Argentite,02.BA.30a
Naumannite,02.BA.30b
Hessite,02.BA.30c
Hessite,02.BA.30c
Hessite,02.BA.30c
Hessite,02.BA.30c
Petzite,02.BA.40a
Petzite,02.BA.40a
Aguilarite,02.BA.30b
Argyrodite,02.BA.35
Argyrodite,02.BA.35
Stromeyerite,02.BA.25a
Stromeyerite,02.BA.25a
Heazlewoodite,02.BB.05
Pentlandite,02.BB.15a
Pentlandite,02.BB.15a
Pentlandite,02.BB.15a
Pentlandite,02.BB.15a
Hauchecornite,02.BB.10
Sphalérite Blende,
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Sphalérite,02.CB.05a
Calcédoine,
Barytine,
Fluorine,
Marcasite,02.EB.10a
Barytine,
Dolomite,05.AB.10
Barytine,
Barytine,
Calcite,05.AB.05
Fluorine,
Calcite,05.AB.05
Barytine,
Quartz,04.DA.05
Barytine,
Calcite,05.AB.05
Fluorine,
Barytine,
Barytine,
Barytine,
Barytine,
Calcite,05.AB.05
Calcite,05.AB.05
Fluorine,
Barytine,
Barytine,
Quartz,04.DA.05
Fluorine,
Barytine,
Calcite,05.AB.05
Barytine,
Calcite,05.AB.05
Fluorite,
Quartz,04.DA.05
Calcite,05.AB.05
Calcite,05.AB.05
Fluorine,
Fluorine,
Fluorine,
Fluorine,
Fluorine,
Fluorine,
Fluorine,
Fluorine,
Pyrite,02.EB.05a
Fluorine,
Fluorite,
Fluorite,
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Quartz,04.DA.05
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Quartz,04.DA.05
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Quartz,04.DA.05
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Fluorite,03.AB.25
Barytine,
Autunite,08.EB.05
Torbernite,08.EB.05
Torbernite,08.EB.05
Uranophane,
Torbernite,08.EB.05
Bétafite,04.DH.15
Dewindtite,08.EC.10
Prixite [pas une espèce],
Uranophane,
Francevillite,04.HB.15
Sklodowskite,09.AK.10
Kasolite,09.AK.15
Cuprosklodowskite,09.AK.10
Carnotite,04.HB.05
Métatyuyamunite,04.HB.25
Masuyite,04.GB.35
Becquerelite,04.GB.10
Soddyite,09.AK.05
Vandenbrandéite,04.GB.45
Vandenbrandéite,04.GB.45
Kasolite,09.AK.15
Guilleminite,04.JJ.10
Métatyuyamunite,04.HB.25
Uraninite,04.DL.05
Kasolite,09.AK.15
Schoepite,04.GA.05
Sklodowskite,09.AK.10
Curite,04.GB.55
Becquerelite,04.GB.10
Curite,04.GB.55
Carnotite,04.HB.05
Torbernite,08.EB.05
Zeunerite,08.EB.05
Uranophane,
Torbernite,08.EB.05
Gummite [pas une espèce] minéral,
Autunite,08.EB.05
Hibonite,04.CC.45
Thorianite,04.DL.05
Torbernite,08.EB.05
Autunite,08.EB.05
Autunite,08.EB.05
Autunite,08.EB.05
Torbernite,08.EB.05
Dewindtite,08.EC.10
Calcite,05.AB.05
Azurite,05.BA.05
Clinozoisite,09.BG.05a
Pyromorphite,08.BN.05
Titanite,
Arsenic,01.CA.05
Datolite,09.AJ.20
Augite,09.DA.15
Azurite,05.BA.05
Fluorite,03.AB.25
Stibnite,02.DB.05a
Ludwigite,06.AB.30
Anglésite,07.AD.35
