catalog_number,location
1398,"San Diego, USA"
1399,"Pala, San Diego, California, USA"
1401,Euxirons Marais Auransmanity
1405,"Lipovka near Mursinka, Ural, USSR"
1415,Nendek
1416,"Rozena, Moravia, Czechoslovakia"
1421,"Nova Ves near Südböhmen, Czechoslovakia"
1423,"Prevali, Kärnten, Austria"
1424,"Governor, New York, USA"
1425,"Dobrown, Corinthie"
1427,"Sakangy, nordwestl. V. Mogok, Burma"
1438,"Paris, Maine, USA"
1441,"Island Utö, Sweden"
1444,"Ramjossen, Norway"
1448,"Val d'Ala, Piemonte, Italy"
1449,"Pfitschergrund, Tirol, Austria"
1452,"Moulin de Gravière, France"
1454,"Faltigels, Tirol, Austria"
1456,"Rammersreuth, Bohemia, Czechoslovakia"
1457,"Royat, Auvergne, France"
1458,"Montagne de Gary, Vallée de Martigrac, France"
1459,"La Haute-Maison-Neuve near Le Buisson, France"
1461,"Galgenberg, Aschaffenburg, Bavaria, Germany"
1465,"Auerbach an der Bergstrasse, Germany"
1468,Haddamlonn
1469,"White Mountains, Vermont, USA"
1470,"Sonora, Mexico"
1471,"Gouvernement, New York, USA"
1472,"Plumas County, California, USA"
1473,"Pierpont, Lawrence City, USA"
1478,"Gornoschut, near Jekaterinburg, Ural, USSR"
1480,"Senamat, Djambi, Sumatra"
1481,"Brevig, Langesund, Norway"
1484,"Russel, St. Lawrence, New York, USA"
1487,"Darbury, Connecticut, USA"
1488,"Ceneri-Tunnel II, Rivera, Ticino, Switzerland"
1489,"Mine Obira, Province Bungo, Japan"
1490,"Naalsö, Island Fär-Öer, Denmark"
1491,"Island Fär-Öer, Denmark"
1495,"Marienberg, Usti nad Labem (Aussig), Bohemia, Czechoslovakia"
1497,"Usti nad Labem (Aussig), Bohemia, Czechoslovakia"
1498,"Cziklowa, Banat, Romania"
1499,"Frombach, Alpe di Seiss, Fassatal, Tirol, Italy"
1501,"Montecchio Maggiore near Vicenza, Italy"
1502,"Limperichkopf near Asbach, Germany"
1505,"Fassa, Tirol, Italy"
250,"Baikal-See, Russia"
252,"Coquimbo, Chile"
253,"Onega-See, USSR"
255,Iran
258,"Sliudanka, Sibirien,Russia"
261,"Pouzac near Bagnères en Bigorre, France"
262,"Boutx, Pyrénées, France"
263,"Singatse Range, Dyerington, Nevada, USA"
268,"Port de Saleix, Pyrénées, France"
270,"Manléon, Pyrénées, France"
271,"Hesselkulla, Sweden"
273,"Monroe, New York, USA"
