catalog_number,is_part_of,material_category,cataloged_name,authoritative_name,country_name,first_order_division
39713,,Rock,Eklogit,,Schweiz,Bern
,39713,Mineral,,Omphacit,,
,39713,Rock,,Eklogit,,
41329,,,Revoredoit,Revoredoit,Peru,
,41329,Mineral,,Revoredoit,,
,41329,Ore,,Pb-Sulfarseniderz - Gang-Typ,,
34011,,Rock,Granodiorit,,Schweiz,Bern
,34011,Rock,,Granodiorit,,
,34011,Mineral,,Orthoklas,,
,34011,Mineral,,Adular Epidot,,
,34011,Mineral,,Quarz,,
,34011,Mineral,,Chlorit,,
34476,,Rock,Granit,,Schweiz,Uri
,34476,Mineral,,Chlorit,,
,34476,Rock,,Granit,,
,34476,Mineral,,Quarz,,
,34476,Mineral,,Adular Apatit,,
,34476,Mineral,,Orthoklas,,
42235,,,Magnetit,Magnetit,Schweden,Uppsala län
,42235,Mineral,,Magnetit,,
,42235,Ore,,Fe-Erz magnetitisch - Skarn-Typ,,
19477,,,Pyrop,Pyrop,Südafrika,
,19477,Mineral,,Diamant,,
,19477,Rock,,"Kimberlit ""basaltisch"" - allgemein",,
,19477,Mineral,,Diopsid,,
,19477,Mineral,,Pyrop,,
40891,,,Sphalerit,Sphalerit,Deutschland,Nordrhein-Westfalen
,40891,Mineral,,Quarz,,
,40891,Mineral,,Sphalerit,,
,40891,Ore,,Zn-Sulfid-Erz - Gang-Typ,,
40890,,,Sphalerit,Sphalerit,Deutschland,Nordrhein-Westfalen
,40890,Mineral,,Quarz,,
,40890,Mineral,,Ankerit,,
,40890,Mineral,,Sphalerit,,
,40890,Ore,,Zn-Sulfid-Erz - Gang-Typ,,
8451,,Rock,Serpentinit,,Schweiz,Uri
,8451,Mineral,,undefiniert,,
,8451,Mineral,,Serpentin,,
,8451,Rock,,Serpentinit,,
42610,,,Muskovit,Muskovit,Italien,Valle d'Aosta / Val d'Aoste
,42610,Ore,,"Mn-Erz, silikatisch - metamorph",,
,42610,Mineral,,Muskovit,,
32736,,Ore,Co-Cu-Sulfarseniderz - metamorph,,Schweiz,Wallis
,32736,Ore,,Co-Cu-Sulfarseniderz - metamorph,,
,32736,Mineral,,Arsenopyrit,,
41256,,,Bornit,Bornit,Peru,Lima
,41256,Mineral,,Bornit,,
,41256,Mineral,,Chalkopyrit,,
,41256,Ore,,Cu-Sulfid-Erz - Gang-Typ,,
42296,,Rock,Metagabbro,,Schweiz,Graubünden
,42296,Mineral,,Albit,,
,42296,Mineral,,Pumpellyit,,
,42296,Mineral,,Amphibol,,
,42296,Rock,,Metagabbro,,
26961,,Ore,V-Erz in Sandstein - tafelförmiger Typ,,Vereinigte Staaten von Amerika (USA),Colorado
,26961,Ore,,V-Erz in Sandstein - tafelförmiger Typ,,
,26961,Mineral,,Roscoelith,,
6949,,,Bismuthinit,Bismuthinit,Schweiz,Wallis
,6949,Mineral,,Pyrit,,
,6949,Ore,,Co-Cu-Sulfarseniderz - metamorph,,
,6949,Mineral,,Chalkopyrit,,
,6949,Mineral,,Bismuthinit,,
34372,,,Quarz,Quarz,Schweiz,Uri
,34372,Mineral,,Calcit,,
,34372,Rock,,Granit,,
,34372,Mineral,,Quarz,,
,34372,Mineral,,Fluorit,,
,34372,Mineral,,Pyrit,,
42891,,,Arsenopyrit,Arsenopyrit,Simbabwe / Zimbabwe,Mashonaland West
,42891,Rock,,Tonschiefer,,
,42891,Mineral,,Arsenopyrit,,
32098,,Ore,Fe-Oolith - Allgemein,,Schweiz,Bern
,32098,Ore,,Fe-Oolith - Allgemein,,
,32098,Mineral,,Magnetit,,
41199,,,Galenit,Galenit,Peru,
,41199,Ore,,Pb-Zn-Cu-Sulfid-Erz - Gang-Typ,,
,41199,Mineral,,Galenit,,
,41199,Mineral,,Pyrit,,
34159,,Rock,Leucit-Tephrit,,Italien,Campania
,34159,Rock,,Leucit-Tephrit,,
,34159,Mineral,,Leucit,,
42420,,,Quarz,Quarz,Slowakei,Košický (Kosicky )
,42420,Mineral,,Pyrit,,
,42420,Mineral,,Cinnabarit,,
,42420,Ore,,"Au-Erz, pyritisch - Gang-Typ",,
,42420,Mineral,,Quarz,,
42625,,,Magnetit,Magnetit,Italien,Piemonte
,42625,Mineral,,Magnetit,,
,42625,Ore,,Fe-Erz magnetitisch - Skarn-Typ,,
42290,,,Hornblende,Hornblende,Schweden,Norrbottens län
,42290,Rock,,Granit,,
,42290,Mineral,,Stilbit,,
,42290,Mineral,,Magnetit,,
,42290,Mineral,,Hornblende,,
,42290,Ore,,Fe-Erz magnetitisch - Kiruna-Typ,,
42446,,,Quarz,Quarz,Slowakei,Banskobystrický (Banskobystricky )
,42446,Ore,,"Au-Erz, polymetallisch - Gang-Typ",,
,42446,Mineral,,Eisenkiesel,,
,42446,Mineral,,Quarz,,
41863,,,Biotit,Biotit,Slowakei,Banskobystrický (Banskobystricky )
,41863,Mineral,,Sanidin,,
,41863,Rock,,"Bimsstein  (pyrokl., unverfestigt)",,
,41863,Mineral,,Biotit,,
41699,,,Zoisit,Zoisit,Südafrika,Limpopo
,41699,Rock,,Granitpegmatit,,
,41699,Mineral,,Zoisit,,
42418,,,Limonit,Limonit,Frankreich,Doubs
,42418,Mineral,,undef. Eisenhydroxid,,
,42418,Ore,,"Fe-Erz, pisolithisch",,
,42418,Mineral,,Limonit,,
41859,,,Biotit,Biotit,Slowakei,Banskobystrický (Banskobystricky )
,41859,Mineral,,Biotit,,
,41859,Rock,,Rhyolith,,
36047,,Rock,Gneis s.l.,,Schweiz,Uri
,36047,Mineral,,Pyrit,,
,36047,Rock,,Gneis s.l.,,
40951,,,Siderit,Siderit,Oesterreich,Kärnten
,40951,Ore,,Fe-Karbonaterz - hydrothermal,,
,40951,Mineral,,Siderit,,
39057,,Ore,Reduktionshof,,Schweiz,Aargau
,39057,Mineral,,Uraninit,,
,39057,Ore,,Reduktionshof,,
,39057,Mineral,,Rammelsbergit,,
6959,,,Malachit,Malachit,Schweiz,Wallis
,6959,Ore,,Co-Cu-Sulfarseniderz - metamorph,,
,6959,Mineral,,Malachit,,
,6959,Mineral,,Azurit,,
43034,,Ore,Co-Cu-Sulfarseniderz - metamorph,Co-Cu-Sulfarseniderz - metamorph,Schweiz,Wallis
,43034,Mineral,,Ankerit,,
,43034,Mineral,,Chalkopyrit,,
,43034,Ore,,Co-Cu-Sulfarseniderz - metamorph,,
,43034,Mineral,,Pyrit,,
,43034,Mineral,,Magnetit,,
,43034,Mineral,,Pyrrhotin,,
27015,,Ore,"Mn-Erz, silikatisch - metamorph",,Schweiz,Graubünden
,27015,Mineral,,Parsettensit,,
