"name","name_type","name_subtype","variety_of_name"
Chromium-bearing Allanite-(Ce),Variety,,Allanite-(Ce)
Chromium-bearing Alumohydrocalcite,Variety,,Alumohydrocalcite
Chromium-bearing Biotite,Variety,,Biotite
Chromium-bearing Chamosite,Variety,,Chamosite
Chromium-bearing Clinochlore,Variety,,Clinochlore
Chromium-bearing Clinopyroxene,Variety,,Clinopyroxene Subgroup
Chromium-bearing Corundum,Variety,,Corundum
Chromium-bearing Dawsonite,Variety,,Dawsonite
Chromium-bearing Diopside,Variety,,Diopside
Chromium-bearing Dravite,Variety,,Dravite
Chromium-bearing Elbaite,Variety,,Elbaite
Chromium-bearing Iowaite,Variety,,Iowaite
Chromium-bearing Jadeite,Variety,,Jadeite
Chromium-bearing Kennedyite,Variety,,Pseudobrookite
Chromium-bearing Lawsonite,Variety,,Lawsonite
Chromium-bearing Limonite,Variety,,Limonite
Chromium-bearing Magnesio-arfvedsonite,Variety,,Magnesio-arfvedsonite
Chromium-bearing Mimetite,Variety,,Mimetite
Chromium-bearing Phlogopite,Variety,,Phlogopite
Chromium-bearing Pyrope,Variety,,Pyrope
Chromium-bearing Sapphirine,Variety,,Sapphirine
Chromium-bearing Sericite,Variety,,Sericite
Chromium-bearing Talc,Variety,,Talc
Chromium-bearing Titanite,Variety,,Titanite
Chromium-bearing Tremolite,Variety,,Tremolite
Chromium-bearing Wulfenite,Variety,,Wulfenite
Chromium-bearing Yukonite,Variety,,Yukonite
Chromlöweite,Variety,,Löweite
Chrommagnetite,Variety,,Magnetite
Chromocyclite,Variety,,Apophyllite Group
Chromohercynite,Variety,,Hercynite
Chromojadeite,Variety,,Jadeite
Chrompicotite,Variety,,Picotite
Chromsteigerite,Variety,,Steigerite
Chrysanthemum Stone (of Kimura),Variety,,Xenotime-(Y)
Chrysojasper,Variety,,Jasper
Chrysolite Cat's-eye,Variety,,Chrysoberyl
Chrysopal,Variety,,Opal
Chrysopal (of Schumann),Variety,,Opal
Chrysotilasbest,Variety,,Chrysotile
Citrine,Variety,,Quartz
Citron Feldspar,Variety,,Sanidine
Claro Opal,Variety,,Precious Opal
Clear Lake Diamond,Variety,,Quartz
Cleavelandite,Variety,,Albite
Cleiophane,Variety,,Sphalerite
Cleveite,Variety,,Uraninite
Cliftonite,Variety,,Graphite
Clinoamphibole,Variety,,Amphibole Supergroup
Clinohypersthene,Variety,,Clinopyroxene Subgroup
Clinothulite,Variety,,Clinozoisite
Cloud Agate,Variety,,Agate
Cloudy Bastard Amber,Variety,,Amber
Cluthalite,Variety,,Analcime
Cobalt and Magnesium-bearing Annabergite,Variety,,Annabergite
Cobalt-bearing Adamite,Variety,,Adamite
Cobalt-bearing Aragonite,Variety,,Aragonite
Cobalt-bearing Austinite,Variety,,Austinite
Cobalt-bearing Calcite,Variety,,Calcite
Cobalt-bearing Dolomite,Variety,,Dolomite
Cobalt-bearing Epsomite,Variety,,Epsomite
Cobalt-bearing Ferrilotharmeyerite,Variety,,Ferrilotharmeyerite
Cobalt-bearing Gersdorffite,Variety,,Gersdorffite
Cobalt-bearing Köttigite,Variety,,Köttigite
Cobalt-bearing Löllingite,Variety,,Löllingite
Cobalt-bearing Malanite,Variety,,Malanite
Cobalt-bearing Mansfieldite,Variety,,Mansfieldite
Cobalt-bearing Melonite,Variety,,Melonite
Cobalt-bearing Olivenite,Variety,,Olivenite
Cobalt-bearing Parasymplesite,Variety,,Parasymplesite
Cobalt-bearing Penroseite,Variety,,Penroseite
Cobalt-bearing Pentlandite,Variety,,Pentlandite
Cobalt-bearing Polydymite,Variety,,Polydymite
Cobalt-bearing Pyrite,Variety,,Pyrite
Cobalt-bearing Pyrrhotite,Variety,,Pyrrhotite
Cobalt-bearing Rammelsbergite,Variety,,Rammelsbergite
Cobalt-bearing Rhodochrosite,Variety,,Rhodochrosite
Cobalt-bearing Smithsonite,Variety,,Smithsonite
Cobalt-bearing Talmessite,Variety,,Talmessite
Cobalt-bearing Tetrahedrite,Variety,,Tetrahedrite Subgroup
Cobalt-bearing Wad,Variety,,Wad
Cobalt-frohbergite,Variety,,Frohbergite
Cobalt-nickel-pyrite (of Vernadsky),Variety,,Pyrite
Cobalt-rich Melonite,Variety,,Melonite
Cobaltochrompicotite,Variety,,Chrompicotite
Cockade sphalerite,Variety,,Sphalerite
Colerainite,Variety,,Clinochlore
Collieite,Variety,,Pyromorphite
Collophane,Variety,,Carbonate-rich Apatite
Colophonite,Variety,,Andradite
Colour-change diaspore,Variety,,Diaspore
Combarbalite,Variety,,Soapstone
Common Glass,Variety,,Glass
Common Opal,Variety,,Opal
Comstockite,Variety,,Melanterite
Contra Luz Opal,Variety,,Precious Opal
Copper and Manganese-bearing Aphthitalite,Variety,,Aphthitalite
Copper and Zinc-bearing Epsomite,Variety,,Epsomite
Copper Vermiculite,Variety,,Vermiculite
Copper-bearing Adamite,Variety,,Adamite
Copper-bearing Anglesite,Variety,,Anglesite
Copper-bearing Austinite,Variety,,Austinite
Copper-bearing Beudantite,Variety,,Beudantite
Copper-bearing Boulangerite,Variety,,Boulangerite
Copper-bearing Cadmoselite,Variety,,Cadmoselite
Copper-bearing Cobaltaustinite,Variety,,Cobaltaustinite
Copper-bearing Descloizite,Variety,,Descloizite
Copper-bearing Elbaite,Variety,,Elbaite
Copper-bearing Fraipontite,Variety,,Fraipontite
Copper-bearing Gahnite,Variety,,Gahnite
Copper-bearing Glauconite,Variety,,Glauconite
Copper-bearing Gold,Variety,,Gold
Copper-bearing Halloysite,Variety,,Halloysite
Copper-bearing Mansfieldite,Variety,,Mansfieldite
Copper-bearing Melanterite,Variety,,Melanterite
Copper-bearing Planerite,Variety,,Planerite
Copper-bearing Pyrite,Variety,,Pyrite
Copper-bearing Rustenburgite,Variety,,Rustenburgite
Copper-bearing Saponite,Variety,,Saponite
Copper-bearing Scheelite,Variety,,Scheelite
Copper-bearing Vanadinite,Variety,,Vanadinite
Copper-bearing Wad,Variety,,Wad
Coppite,Variety,,Tetrahedrite Subgroup
Coracite,Variety,,Gummite
Corallinerz,Variety,,Cinnabar
Cordierite-pinite,Variety,,Pinite
Cornuite (of Rogers),Variety,,Chrysocolla
Corundophilite,Variety,,Clinochlore
Cossaite (of Piolti?),Variety,,Paragonite
Cotterite,Variety,,Quartz
Cr-rich Picroilmenite,Variety,,Ilmenite
Crazy Calcite,Variety,,Calcite
Crazy Lace Agate,Variety,,Agate
Creolite,Variety,,Jasper
Crocidolite,Variety,,Riebeckite Root Name Group
Crucilite,Variety,,Hematite
Cryptoperthite,Variety,,Perthite
Crystal Opal,Variety,,Precious Opal
